round,date,home_team_id,away_team_id,home_score,away_score,score_disparity,home_game_points,away_game_points,venue_id,bye_id,year
1, 6 April  2008,7,10,48,46,2,2,0,7,,2008
1, 5 April 2008,3,4,33,50,17,0,2,37,,2008
1, 7 April 2008,5,8,53,42,11,2,0,1,,2008
1, 7 April 2008,9,1,46,42,4,2,0,12,,2008
1, 6 April 2008,6,2,44,48,4,0,2,36,,2008
2, 14 April 2008,3,8,50,52,2,0,2,37,,2008
2, 14 April 2008,10,1,41,54,13,0,2,9,,2008
2, 13 April 2008,9,6,56,52,4,2,0,12,,2008
2, 13 April 2008,4,7,62,52,10,2,0,28,,2008
2, 12 April 2008,2,5,50,44,6,2,0,8,,2008
3, 21 April 2008,7,3,56,28,28,2,0,7,,2008
3, 19 April 2008,5,9,50,47,3,2,0,20,,2008
3, 19 April 2008,6,10,45,49,4,0,2,36,,2008
3, 20 April 2008,4,1,38,39,1,0,2,39,,2008
3, 21 April 2008,2,8,42,51,9,0,2,8,,2008
4, 26 April 2008,7,6,46,40,6,2,0,7,,2008
4, 27 April 2008,1,8,54,41,13,2,0,13,,2008
4, 26 April 2008,9,10,61,47,14,2,0,18,,2008
4, 28 April 2008,5,3,59,30,29,2,0,30,,2008
4, 28 April 2008,2,4,50,58,8,0,2,8,,2008
5, 3 May 2008,10,7,46,65,19,0,2,9,,2008
5, 3 May 2008,9,3,54,37,17,2,0,18,,2008
5, 5 May 2008,5,4,52,53,1,0,2,20,,2008
5, 5 May 2008,8,6,48,50,2,0,2,27,,2008
5,,,,,,,,,,1,2008
5,,,,,,,,,,2,2008
6, 10 May 2008,7,5,66,52,14,2,0,7,,2008
6, 12 May 2008,1,10,66,50,16,2,0,13,,2008
6, 10 May 2008,8,2,48,51,3,0,2,27,,2008
6, 12 May 2008,6,9,45,59,14,0,2,36,,2008
6,,,,,,,,,,4,2008
6,,,,,,,,,,3,2008
7, 17 May 2008,3,2,50,55,5,0,2,5,,2008
7, 18 May 2008,1,4,46,52,6,0,2,13,,2008
7, 19 May 2008,9,8,56,47,9,2,0,18,,2008
7, 19 May 2008,5,10,66,54,12,2,0,30,,2008
7,,,,,,,,,,7,2008
7,,,,,,,,,,6,2008
8, 25 May 2008,7,4,60,51,9,2,0,7,,2008
8, 26 May 2008,3,6,48,54,6,0,2,37,,2008
8, 26 May 2008,1,5,44,50,6,0,2,13,,2008
8, 24 May 2008,2,9,50,54,4,0,2,8,,2008
8,,,,,,,,,,10,2008
8,,,,,,,,,,8,2008
9, 2 June 2008,7,1,41,47,6,0,2,7,,2008
9, 31 May 2008,8,3,41,29,12,2,0,27,,2008
9, 1 June 2008,4,10,57,44,13,2,0,28,,2008
9, 2 June 2008,6,2,50,46,4,2,0,36,,2008
9,,,,,,,,,,5,2008
9,,,,,,,,,,9,2008
10, 9 June 2008,10,3,33,16,17,1,1,9,,2008
10, 8 June 2008,9,7,56,50,6,2,0,12,,2008
10, 8 June 2008,1,2,61,41,20,2,0,13,,2008
10, 7 June 2008,8,4,47,46,1,2,0,27,,2008
10, 9 June 2008,6,5,62,64,2,0,2,36,,2008
11, 16 June 2008,8,10,58,43,15,2,0,11,,2008
11, 16 June 2008,4,9,47,40,7,2,0,28,,2008
11, 15 June 2008,5,7,61,60,1,2,0,30,,2008
11, 14 June 2008,6,1,47,48,1,0,2,36,,2008
11, 15 June 2008,2,3,50,49,1,2,0,8,,2008
12, 22 June 2008,7,2,50,36,14,2,0,7,,2008
12, 21 June 2008,3,9,41,46,5,0,2,37,,2008
12, 21 June 2008,10,4,48,54,6,0,2,9,,2008
12, 23 June 2008,6,8,47,41,6,2,0,21,,2008
12, 23 June 2008,5,1,51,41,10,2,0,30,,2008
13, 29 June 2008,10,2,50,44,6,2,0,9,,2008
13, 28 June 2008,1,7,66,47,19,2,0,13,,2008
13, 28 June 2008,6,3,42,28,14,2,0,21,,2008
13, 30 June 2008,8,9,47,43,4,2,0,27,,2008
13, 30 June 2008,4,5,49,62,13,0,2,39,,2008
14, 7 July 2008,10,5,54,63,9,0,2,9,,2008
14, 6 July 2008,8,7,54,52,2,2,0,11,,2008
14, 5 July 2008,9,2,69,44,25,2,0,18,,2008
14, 7 July 2008,3,1,32,44,12,0,2,23,,2008
14, 6 July 2008,4,6,56,47,9,2,0,39,,2008
15, 14 July 2008,1,4,53,48,5,2,0,13,,2008
15, 13 July 2008,9,5,56,57,1,0,2,18,,2008
16, 21 July 2008,9,1,51,49,2,2,0,18,,2008
17, 28 July 2008,5,9,65,56,9,2,0,1,,2008
1, 5 April 2009,7,1,48,60,12,0,2,7,,2009
